Tool;Kategorie;Beschreibung;Preis;URL
Adobe Audition;Audio;"Cooledit Professional wurde von Adobe aufgekauft und heißt nun Audition.
Neupreis liegt bei ca. 399 US$. 
Wer es günstiger haben will: Das Upgrade von Cooledit 2000 kostet nur 99 US$.";ab 99 US$;<A HREF="http://www.adobe.com">www.adobe.com</A>
C++ BuilderX;Programmierung;"Borlands Hochleistungs-C++-Entwicklungsumgebung gibt es auch in der kostenlosen "Personal". Die IDE läuft auf den Plattformen Windows, Linux und Solaris";kostenlos;<A HREF="http://www.borland.com/cbuilderx">www.borland.com/cbuilderx</A>;
Crimson Editor;Programmierung;"Ein Universal Editor mit Syntax Hervorhebung und vielen anderen Features.";kostenlos;<A HREF="http://www.crimsoneditor.com">www.crimsoneditor.com</A>;
JBuilderX;Programmierung;"Borlands Hochleistungs-Java-Entwicklungsumgebung gibt es auch in der kostenlosen "Personal" oder "Foundation" Version. Die IDE läuft auf den Plattformen Windows, Linux und Solaris";kostenlos;<A HREF="http://www.borland.com/jbuilder">www.borland.com/jbuilder</A>;
Komodo;Programmierung;"Ein universal Editor von ActiveState für alle Scriptsprachen inkl. Perl, Python, JavaScript, XSL etc. Aber auch HTML, XML lässt sich dieser Editor gut nutzen.";39 US$ (Personal Version);<A HREF="http://www.activestate.com/komodo">www.activestate.com/komodo</A>;
Kylix ;Programmierung;"Delphi und C++ Builder für Linux. 
Die Personal Version ist kostenlos.";kostenlos;<A HREF="http://www.borland.com/kylix">www.borland.com/kylix</A>;
Atomic Synchronizer;System;"Synchronisiert auf Knopfdruck die PC Uhr mit einer Atomuhr über das Internet";kostenlos;<A HREF="http://www.mxmtech.biz">www.mxmtech.biz</A>;
ProcessExplorer;System;"Ein Betrachtungsprogramm für Prozesse. 
Wesentlich exakter als der Taskmanager von Windows";kostenlos;<A HREF="http://www.sysinternals.com">www.sysinternals.com</A>;
United Devices;System;"Bildschirmschoner, welcher eine verteilte Rechnung über das Internet erlaubt. 
Dieser Schoner hilft bei der Krebs- und Gegenmittelforschung";kostenlos;<A HREF="http://www.ud.com">www.ud.com</A>;
AsfTools;Video;"Zur Umwandlung von ASF in AVI";kostenlos;<A HREF="http://www.geocities.com/myasftools">www.geocities.com/myasftools</A>;
DivX;Video;"Ein sehr bekannter guter Video-Kompressionsmechanismus";kostenlos;<A HREF="http://www.divx.com">www.divx.com</A>;
DV Codec Demo;Video;"Von MainConcept wird diese Demo bereitgestellt. 
Der DV Codec dekodiert die z.B. von einer Videokamera erzeugten Videos im DV Format. 
Somit kann man seine Videofilme nach AVI oder MPEG konvertieren.";kostenlos;<A HREF="http://www.mainconcept.de">www.mainconcept.de</A>;
DVDShrink;Video;"Ein Programm zum erstellen von DVD Backups. Einfach zu bedienen und kostenlos.";kostenlos;<A HREF="http://www.dvdshrink.org">www.dvdshrink.org</A>;
MPEG Mediator;Video;"Ein einfacher Konverter von DVD VOB Dateien in AVI oder MPEG";kostenlos;<A HREF="http://www.mpeg-mediator.com">www.mpeg-mediator.com</A>;
VirtualDub;Video;"Ein kostenloser Editor für AVI Dateien";kostenlos;<A HREF="http://www.virtualdub.org">www.virtualdub.org</A>;
CSV2XML;XML;"Ein generisches Konvertierungstool von CSV (mit Kopfzeile !) nach XML";kostenlos;<A HREF="http://www.goedeke.net/csv2xml.html">www.goedeke.net/csv2xml.html</A>;
NTE_CONV;XML;"Konvertiert das Lotus Notes "Structured Text" Format nach CSV oder XML";kostenlos;<A HREF="http://www.goedeke.net/nte_conv.html">www.goedeke.net/nte_conv.html</A>;
Saxon;XML;"Ein einfach zu bedienender kostenloser XSLT Prozessor 
(Kommandozeilenversion) von Michael Kay, dem Autor diverser XML Bücher";kostenlos;<A HREF="http://saxon.sourceforge.net">saxon.sourceforge.net</A>;
XML Cooktop;XML;"Ein kostenloser XSLT Editor, mit dem sich auch XML Dokumente editieren, Syntax-Checken und formatieren lassen";kostenlos;<A HREF="http://www.xmlcooktop.com">www.xmlcooktop.com</A>;
XML Spy;XML;"Ein Editor für nahezu alle Markup Sprachen (XML,XSL,XSD, DTD,HTML etc.) 
Ein besonderer Vorteil liegt in den zahlreichen Darstellungsmöglichkeiten und der XSD Validierung. 
Im Test ließen sich selbst 30MegaByte groß XML Dateien editieren. 
XML Spy ist quasi ein all-inclusiv Software Paket für die Arbeit mit XML und Co. 
Die Homeedition ist kostenlos...";kostenlos;<A HREF="http://www.xmlspy.com">www.xmlspy.com</A>;
