Name;Type;Year-1987;Year-1995;Year-2001;Year-2006
Gummersbach;City;NW;48.250;53.149;53.355;52.636
Gütersloh;{Gutersloh};City;NW;81.804;92.842;95.459;96.284
Hagen;Cnty;NW;209.363;212.003;202.060;195.671
Halle;Cnty;ST;329.625;282.784;243.045;235.720
Hamburg;Cnty;HH;1.592.770;1.707.901;1.726.363;1.754.182
Hameln;City;NI;58.181;58.781;59.052;58.517
Hamm;Cnty;NW;171.170;183.408;183.805;183.672
Hanau;City;HE;83.391;88.921;88.801;88.472
Hannover;Cnty;NI;494.864;523.147;516.415;516.343
Hattingen;City;NW;55.880;58.650;58.023;56.700
Heidelberg;Cnty;BW;127.768;138.781;141.509;144.634
Heilbronn;Cnty;BW;110.970;121.509;120.163;121.384
Herford;City;NW;60.935;65.919;65.097;65.060
Herne;Cnty;NW;174.238;179.897;174.018;169.991
Herten;City;NW;67.806;69.183;66.495;64.344
Hilden;City;NW;53.262;55.086;56.615;56.326
Hildesheim;City;NI;103.449;106.101;103.717;103.249
Hürth;{Hurth};City;NW;48.376;52.351;54.095;55.593
Ibbenbüren;{Ibbenburen};City;NW;43.243;47.421;49.485;51.190
Ingolstadt;Cnty;BY;96.071;111.979;117.311;122.167
Iserlohn;City;NW;92.183;99.341;98.865;96.546
Jena;Cnty;TH;107.610;101.061;101.157;102.494
Kaiserslautern;Cnty;RP;97.326;102.002;99.794;98.044
Karlsruhe;Cnty;BW;260.591;275.690;279.578;286.327
Kassel;Cnty;HE;187.288;201.573;194.748;193.518
Kempten;Cnty;BY;59.369;61.657;61.505;61.480
Kerpen;City;NW;53.608;61.998;63.652;64.425
Kiel;Cnty;SH;237.767;246.033;232.242;235.366
Koblenz;Cnty;RP;108.246;109.219;107.730;105.888
Köln;{Koln};Cnty;NW;928.309;965.697;967.940;989.766
Konstanz;City;BW;70.378;76.000;79.240;81.006
Krefeld;Cnty;NW;232.261;249.606;239.559;237.104
Landshut;Cnty;BY;56.446;59.219;59.513;61.923
Langenfeld;City;NW;50.297;56.676;58.757;58.947
Langenhagen;City;NI;45.965;48.921;49.506;51.388
Leipzig;Cnty;SN;550.641;517.812;493.052;506.578
Leverkusen;Cnty;NW;154.692;162.252;160.829;161.336
Lingen;City;NI;47.489;52.270;51.362;51.417
Lippstadt;City;NW;60.102;66.636;67.231;67.109
Lübeck;{Lubeck};Cnty;SH;210.497;216.986;213.496;211.213
Lüdenscheid;{Ludenscheid};City;NW;74.635;81.837;80.509;78.032
Ludwigsburg;City;BW;78.884;86.810;87.502;87.280
Ludwigshafen;Cnty;RP;156.601;167.369;162.458;163.560
Lüneburg;{Luneburg};City;NI;59.543;64.558;68.234;72.057
Lünen;{Lunen};City;NW;84.664;91.592;92.005;89.456
Magdeburg;Cnty;ST;288.975;258.656;229.755;229.826
Mainz;Cnty;RP;172.529;183.720;185.293;196.425
Mannheim;Cnty;BW;295.191;311.292;308.385;307.914
Marburg;City;HE;68.624;76.834;77.556;79.375
Marl;City;NW;89.063;92.965;92.628;90.113
Meerbusch;City;NW;50.240;54.206;55.172;54.180
Menden;City;NW;54.058;58.424;59.183;57.599
Minden;City;NW;75.031;82.971;82.898;83.099
Moers;City;NW;100.872;107.095;107.421;107.180
Mönchengladbach;{Monchengladbach};Cnty;NW;249.587;266.702;262.963;260.951
Mülheim;{Mulheim};Cnty;NW;175.423;176.530;172.332;169.414
München;{Munchen};Cnty;BY;1.185.421;1.236.370;1.227.958;1.294.608
Münster;{Munster};Cnty;NW;246.186;265.061;267.197;272.106
Neubrandenburg;Cnty;MV;87.235;80.483;71.723;67.517
Neumünster;{Neumunster};Cnty;SH;79.771;82.028;79.646;77.936
Neuss;City;NW;142.178;148.796;150.957;151.626
Neustadt;Cnty;RP;50.120;53.788;53.822;53.506
Neu-Ulm;City;BY;44.438;51.053;50.709;51.700
Neuwied;City;RP;60.261;67.374;67.011;65.750
Norderstedt;City;SH;65.976;69.766;72.016;71.603
Nordhorn;City;NI;48.368;51.269;52.479;53.156
Nürnberg;{Nurnberg};Cnty;BY;470.943;492.425;491.307;500.855
Oberhausen;Cnty;NW;220.286;224.397;221.619;218.181
Offenbach;Cnty;HE;111.386;116.533;118.429;117.564
Offenburg;City;BW;51.311;56.045;58.280;58.811
Oldenburg;Cnty;NI;140.149;151.382;155.908;159.060
Osnabrück;{Osnabruck};Cnty;NI;150.807;168.618;164.195;163.020
Paderborn;City;NW;110.715;133.717;140.869;144.258
Passau;Cnty;BY;48.516;50.885;50.669;50.644
Pforzheim;Cnty;BW;106.530;118.763;118.002;119.156
Plauen;Cnty;SN;77.514;73.185;71.155;68.430
Potsdam;Cnty;BB;141.231;144.118;141.907;148.813
Pulheim;City;NW;47.852;51.365;53.441;53.645
Ratingen;City;NW;88.631;89.534;91.793;92.152
Recklinghausen;City;NW;119.991;127.216;124.587;121.521
Regensburg;Cnty;BY;118.639;125.836;127.198;131.342
Remscheid;Cnty;NW;120.132;122.260;118.753;114.925
Reutlingen;City;BW;98.853;108.565;111.338;112.431
Rheine;City;NW;69.348;74.587;75.925;76.438
Rosenheim;Cnty;BY;53.155;58.920;59.310;60.394
Rostock;Cnty;MV;249.349;227.535;198.964;199.868
Rüsselsheim;{Russelsheim};City;HE;58.530;60.287;59.551;59.203
Saarbrücken;{Saarbrucken};City;SL;188.702;187.032;182.858;177.870
Salzgitter;Cnty;NI;111.069;117.713;111.696;106.665
Sankt;Augustin;City;NW;49.396;55.065;55.539;56.216
Schwäbisch;Gmünd;{Schwabisch;Gmund};City;BW;56.754;63.734;61.873;61.181
Schweinfurt;Cnty;BY;51.962;55.722;54.568;53.970
Schwerin;Cnty;MV;128.328;114.688;99.978;96.280
Siegen;City;NW;106.384;111.398;108.397;105.697
Sindelfingen;City;BW;56.861;59.435;60.878;60.745
Solingen;Cnty;NW;159.103;165.735;165.032;162.948
Speyer;Cnty;RP;44.034;49.664;49.956;50.648
Stolberg;City;NW;55.747;58.203;58.718;58.540
Stralsund;Cnty;MV;75.857;65.977;59.970;58.288
Stuttgart;Cnty;BW;551.904;585.604;587.152;593.923
Trier;Cnty;RP;94.118;99.428;100.024;103.518
Troisdorf;City;NW;60.079;68.778;73.282;74.790
Tübingen;{Tubingen};City;BW;71.701;81.769;82.444;83.740
Ulm;Cnty;BW;103.494;115.721;118.347;120.925
Unna;City;NW;56.499;66.475;70.117;67.680
Velbert;City;NW;87.366;89.786;89.823;86.754
Viersen;City;NW;76.445;77.338;77.259;75.975
Villingen-Schwenningen;City;BW;75.861;80.734;81.691;81.825
Waiblingen;City;BW;45.603;50.333;52.536;52.932
Weimar;Cnty;TH;63.910;62.122;63.522;64.481
Wesel;City;NW;57.507;61.609;62.151;61.432
Wetzlar;City;HE;50.211;53.922;52.657;52.269
Wiesbaden;Cnty;HE;251.871;267.122;271.076;275.562
Wilhelmshaven;Cnty;NI;90.982;90.667;84.994;82.797
Willich;City;NW;40.303;45.932;50.853;51.995
Witten;City;NW;102.902;104.754;103.158;100.248
Wolfenbüttel;{Wolfenbuttel};City;NI;50.729;53.686;54.517;54.124
Wolfsburg;Cnty;NI;124.896;126.331;121.887;120.493
Worms;City;RP;73.635;80.014;80.625;82.212
Wuppertal;Cnty;NW;365.662;381.884;364.784;358.330
Würzburg;{Wurzburg};Cnty;BY;123.378;127.295;129.915;134.913
Zwickau;Cnty;SN;120.923;110.780;101.726;96.786
